Metabolite_name	RefMet_name	3058(1)-01_12_1_748	3058(1)-02_12_1_749	3058(2)-01_13_1_750	3058(2)-02_13_1_751	3058(3)-01_14_1_752	3058(3)-02_14_1_753	3058(4)-01_15_1_754	3058(4)-02_15_1_755	3058(5)-01_16_1_756	3058(5)-02_16_1_757	3066(1)-01_7_1_738	3066(1)-02_7_1_739	3066(2)-01_8_1_740	3066(2)-02_8_1_741	3066(3)-01_9_1_742	3066(3)-02_9_1_743	3066(4)-01_10_1_744	3066(4)-02_10_1_745	3066(5)-01_11_1_746	3066(5)-02_11_1_747	CR1-01_2_1_728	CR1-02_2_1_729	CR2-01_3_1_730	CR2-02_3_1_731	CR3-01_4_1_732	CR3-02_4_1_733	CR4-01_5_1_734	CR4-02_5_1_735	CR5-01_6_1_736	CR5-02_6_1_737
Factors	-	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control
1_11-Undecanedicarboxylic acid	Tridecanedioic acid	174		728	752			200	226	906	1070	1426	992	966	414	1504	1604	1308	920	680	470			1974	1164					1034	986
2_3-Diaminopropionic acid	2,3-Diaminopropionic acid	652	814	1002		1228	500		966	804	868	1294		636	750	2092	1730	1754	1080	1084	1108	664	544	960	846	688	434	2054		1014	1058
2-Ethyl-2-hydroxybutyric acid	2-Ethyl-2-hydroxybutyric acid	916	810	1004	1172	1382	756	984	678	736	794	914	872	962	874	990	934	1096	892	752	666	976	882	1022	1094	976	788	830	802	1158	1024
2-Hydroxycaproic acid	2-Hydroxyhexanoic acid	26212	21686	27594	36222	39472	25568	29628	27062	31136	27818	17566	19564	28212	26402	52236	32182	28552	28788	29110	28940	19688	21014	33320	28128	26190	26236	27066	30004	33350	31464
2-Ketohexanoic acid	2-Ketocaproic acid	740	1050	624	618	728	884	574	748	1008	1190	542	624	816	654	818	2470	954	998	942	946	536	1446	1292	1568	750	664	1138	656	518	938
2-Phenylbutyric acid	2-Phenylbutyric acid	23480	23912	22042	19504	31886	22284	20826	19248	20350	20592	22932	21766	22182	25104	82872	22216	23728	21296	22908	23000	24728	23916	23020	22232	23242	24896	22204	21870	21580	22558
2-Pyrrolidinone	2-Pyrrolidinone	6748	6430	4798	4626	6226	4090	3640	3636	3638	4440	4610	4474	5062	6022	4804	4858	4442	4422	4664	5150	8178	8660	5042	4982	7998	6314	8834	9510	6694	7478
3_4-Dihydroxyphenylglycol	3,4-Dihydroxyphenylglycol	59342	68236	79824	76540	63340	35314	66340	50222	63016	75472	86734	69500	78336	86264	103058	112174	94098	79310	51012	83056	10214	32546	69476	78800	57220	59794	33150	42300	71058	53646
3_5-Diiodothyronine	3,5-Diiodothyronine			1358	1120	472	592			838	1292	1258	824	1026	726	696	714	1094	1170	1234	1168			1282	1392					1244	1170
3-Aminoisobutanoic acid	3-Aminoisobutanoic acid	60518	60520	63936	51482	66396	49180	47582	42830		39794	71372	59060	58816	66880	64836	59044	57016	63386	55828	58256	48054	44804	56786	53312	52840	51342	56356	60382	57868	57494
3-Hexenedioic acid	3-Hexenedioic acid	1186	1058	1362	1636	1652	1676	1166	954	1448	1590	1438	1608	1674	1412	1278	1140	1144	1256	1462	1446	1334	1234	1344	1876	918	1716	988	940	1310	1424
3-Hydroxymandelic acid	3-Hydroxymandelic acid	784	636	992	628	500	1064	606	612	756	766		738	1010	944	784	998	1182	1126		446	566	770	1234	1238		1666	1106	1180	1574	970
3-Methylindole	3-Methylindole	1374	1894	1618	1426	1834	1478	1646	1302	1104	1366	1512	1482	1268	942		1372	1312	1312	1140	1314			1864	1246	1680	906	1434	1296	1686	1656
4-Deoxytetronic acid		4000	4306	6472	6500	4080	3446	1954		4330	4554	3792	2926	6514	7128	8022	7930	7746	6742	6646	5608	1908	1582	2394	5188	3978	3900	2154		7314	7012
4-Ethylphenol	4-Ethylphenol	1044			1070		976			782	1160	1288	1738	1050	1234	1580			1230		1234	646	696			900			1072	1398	
4-Hydroxyproline	cis-4-Hydroxyproline	2968	2834	2918	2750	2970	3100	2512	2968	2836	2860	2650	2464	2666	2900	3018	2432	2816	3008	2802	2962	1146	1400	1642	1828	1862	1984	2496	2232	2360	2394
5-Hydroxy-L-tryptophan	5-Hydroxy-tryptophan		1384				1054	1090	1240				1210	710	928		1730		484		980			1770	1158	1254	1316	1248			1148
5-Methoxytryptophol	5-Methoxytryptophol	11320	10446	8256	7720	8518	9178	4386	3862	5416	4288	2464	2638	7264	7426	3416	3612	5588	5196	5584	5934	14138	15512		4980	9860	12458	11606	11952	5540	6272
5^-Methylthioadenosine	5'-Methylthioadenosine	30630	28834	27716	28756	31704	26550	24138	28044	19546	17160	21362	18624	20794	22928	18666	19666	19452	19904	17920	20224	31932	35010	23934	29264	29784	31346	26590	30796	20538	26054
5-Phenylvaleric acid	5-Phenylvaleric acid	498	530	4270	3276	772	582	372	328	3896	2926	3288	3422	2402	2784	5454	4186	2716	3376	4508	3672	366	282		5030	454	846	664	494	4404	5138
6-Hydroxynicotinic acid	6-Hydroxynicotinic acid		1020	1168	1012	1054	686	602	296	850	650	278	212	1156	1696	972	786	1124	1182	976	656		248	284	1260	876	1136	168	172	930	1240
6-(Methylamino) purine	6-Methyladenine	738	1334	922	1144	1248	978	1098	758	914	766	928	1190	750	524	1212	816	1122	1358	988	1006	614	518	744	600	756	748	592	934	700	706
7-Ketocholesterol	7-Oxo-cholesterol	1660	2268	3102	2232	1300	1442	1138	1290	1964	1490	1840	1514	2108	1776	1382	2094	1778	2520	1708	1730	2320	2810	2594	3054	2682	3294	2740	1404	3300	2776
7-Methylguanine	7-Methylguanine	1956	1374	748	862	1790	1664	1162	2158	782	620	2020	1404	816	1046	716		616	802	852	1032	2342	1730	518	960	1390	1710	1226	1552	1302	1080
Acrylamide	Acrylamide	5026	5172	5764	4524	3708	3006	3408	3044	2106	2232	5460	6160	4498	4634	5542	4214	3524	6410	3274	4632	3616	4322	5646	5032	4666	4296	3538	4432	4470	4384
Adenine	Adenine	4492	4402	3804	3042	4456	4622	3258	4202	3014	2928	3052	3644	3880	4040	3882	2542	4408	3642	3000	2210	5792	5266	4718	4988	4702	5248	5768	5088	3154	4450
Adenosine monophosphate	AMP	2682		2890	3372	2486	3042	2256	2168	2510		2698	2984	3100	3268	2790	3084	2564	3792	2882		2150	2270	3088	3444					3028	2440
